"tau2","model","heuristic","optDelta","minPsi","MIV","MISB","pc"
0.3,"Linear (1 factor)","Half split",0.367643886936493,1.24346765687379,0.448653022651812,0.794814634221976,0.387298334620742
0.32,"Linear (1 factor)","Half split",0.371025577897308,1.29639579460259,0.450455986847215,0.845939807755375,0.4
0.34,"Linear (1 factor)","Half split",0.374112108347544,1.3492153809532,0.452117596148828,0.897097784804369,0.412310562561766
0.36,"Linear (1 factor)","Half split",0.376972046619497,1.40194034358165,0.453670929592449,0.948269413989204,0.3
0.38,"Linear (1 factor)","Half split",0.379583168102306,1.45458225803154,0.455100688254245,0.999481569777295,0.308220700148449
0.4,"Linear (1 factor)","Half split",0.382030313844111,1.50715082377201,0.456450721432668,1.05070010233934,0.223606797749979
0.42,"Linear (1 factor)","Half split",0.384303756942376,1.55965425345903,0.457713681323672,1.10194057213536,0.229128784747792
0.44,"Linear (1 factor)","Half split",0.386413225204333,1.61209954246208,0.458893114430769,1.15320642803131,0.469041575982343
0.46,"Linear (1 factor)","Half split",0.388384005334736,1.66449269382019,0.460001603851774,1.20449108996841,0.479583152331272
0.48,"Linear (1 factor)","Half split",0.390229729402302,1.71683889237394,0.461045549169922,1.25579334320402,0.489897948556636
0.5,"Linear (1 factor)","Half split",0.392002948603799,1.76914263845497,0.462053777063334,1.30708886139164,0.5
0.52,"Linear (1 factor)","Half split",0.393632636487051,1.82140786713207,0.46298497736936,1.35842288976271,0.509901951359279
0.54,"Linear (1 factor)","Half split",0.395171089410844,1.8736380306378,0.463868081132996,1.4097699495048,0.367423461417477
0.56,"Linear (1 factor)","Half split",0.396631098446905,1.92583617080463,0.464709786722588,1.46112638408204,0.374165738677394
0.58,"Linear (1 factor)","Half split",0.398013175483123,1.97800498102713,0.465509826225305,1.51249515480183,0.269258240356725
0.6,"Linear (1 factor)","Half split",0.399323587100311,2.03014685542006,0.46627131535931,1.56387554006075,0.273861278752583
0.62,"Linear (1 factor)","Half split",0.40056792814884,2.08226392975676,0.466997057744478,1.61526687201229,0.556776436283002
0.64,"Linear (1 factor)","Half split",0.401751211320451,2.13435811592761,0.467689584024131,1.66666853190348,0.565685424949238
0.66,"Linear (1 factor)","Half split",0.402877942520134,2.18643113095628,0.468351185121292,1.71807994583499,0.574456264653803
0.68,"Linear (1 factor)","Half split",0.403952184623007,2.23848452156158,0.468983940643394,1.76950058091819,0.58309518948453
0.7,"Linear (1 factor)","Half split",0.404977611686988,2.29051968505097,0.46958974326024,1.82092994179073,0.591607978309962
0.72,"Linear (1 factor)","Half split",0.40595755526525,2.34253788717594,0.470170319714788,1.87236756746115,0.424264068711929
0.74,"Linear (1 factor)","Half split",0.406895044149425,2.39454027745748,0.470727249007679,1.9238130284498,0.430116263352131
0.76,"Linear (1 factor)","Half split",0.407792838617607,2.44652790239438,0.471261978195497,1.97526592419888,0.308220700148449
0.78,"Linear (1 factor)","Half split",0.408653460066955,2.49850171689093,0.47177583616749,2.02672588072344,0.31224989991992
0.8,"Linear (1 factor)","Half split",0.409493009981186,2.55046259367971,0.472278310573597,2.07818428310611,0.632455532033676
0.82,"Linear (1 factor)","Half split",0.410287001251904,2.60241133383736,0.472754606912151,2.12965672692521,0.640312423743285
0.84,"Linear (1 factor)","Half split",0.411052243174432,2.65434867196952,0.47321465952578,2.18113401244374,0.648074069840786
0.86,"Linear (1 factor)","Half split",0.411786602551219,2.70627528353492,0.473657071504411,2.23261821203051,0.6557438524302
0.88,"Linear (1 factor)","Half split",0.412493616826709,2.75819179166704,0.474083866352936,2.28410792531411,0.66332495807108
0.9,"Linear (1 factor)","Half split",0.413174812756122,2.81009877143488,0.474495871147595,2.33560290028729,0.474341649025257
0.92,"Linear (1 factor)","Half split",0.413831603673714,2.86199675461036,0.474893854591063,2.38710290001929,0.479583152331272
0.94,"Linear (1 factor)","Half split",0.414465276054913,2.91388623370239,0.475278517615682,2.4386077160867,0.342782730020052
0.96,"Linear (1 factor)","Half split",0.415077059166483,2.96576766555811,0.475650534568988,2.49011713098912,0.346410161513775
0.98,"Linear (1 factor)","Half split",0.415668097468328,3.0176414745578,0.476010535629723,2.54163093892808,0.7
1,"Linear (1 factor)","Half split",0.416239444680375,3.06950805547139,0.476359102346196,2.59314895312519,0.707106781186548
0,"Linear (1 factor)","Retain",0.000166100350655761,0.333347177328538,0.333347177328538,0,0
0.004,"Linear (1 factor)","Retain",0.180192333957223,0.378029108356271,0.35147016166083,0.0265589466954409,0.0447213595499958
0.008,"Linear (1 factor)","Retain",0.237099972858767,0.401549991128064,0.358763621661368,0.0427863694666958,0.0632455532033676
0.012,"Linear (1 factor)","Retain",0.275330081425901,0.421717368245984,0.364187672920135,0.0575296953258485,0.0547722557505166
0.016,"Linear (1 factor)","Retain",0.304362093987739,0.440204786309731,0.368619010682317,0.0715857756274142,0.0632455532033676
0.02,"Linear (1 factor)","Retain",0.327730130730538,0.457653136875377,0.372397396705997,0.0852557401693794,0.05
0.024,"Linear (1 factor)","Retain",0.347246286641198,0.474386877515149,0.375706878942345,0.0986799985728035,0.0547722557505166
0.028,"Linear (1 factor)","Retain",0.363949897868188,0.490596040279619,0.378656644246138,0.111939396033481,0.118321595661992
0.032,"Linear (1 factor)","Retain",0.378497339201944,0.506402594672188,0.381317781377716,0.125084813294472,0.126491106406735
0.036,"Linear (1 factor)","Retain",0.391391597017495,0.521889947158826,0.383751104153643,0.138138843005182,0.134164078649987
0.04,"Linear (1 factor)","Retain",0.402873194086563,0.537117859220275,0.385978948932048,0.151138910288227,0.14142135623731
0.044,"Linear (1 factor)","Retain",0.413243245712564,0.552130718975946,0.388042176263082,0.164088542712865,0.148323969741913
0.048,"Linear (1 factor)","Retain",0.422646205847566,0.566962448904216,0.389956099179726,0.17700634972449,0.109544511501033
0.052,"Linear (1 factor)","Retain",0.431252752619465,0.581639585780327,0.391744802588907,0.18989478319142,0.114017542509914
0.056,"Linear (1 factor)","Retain",0.439164419900608,0.596183293665618,0.393420941678693,0.202762351986925,0.0836660026534076
0.06,"Linear (1 factor)","Retain",0.446472277851119,0.610610730659509,0.394996873739773,0.215613856919736,0.0866025403784439
0.064,"Linear (1 factor)","Retain",0.453250945529932,0.624936003647802,0.396482972087749,0.228453031560053,0.178885438199983
0.068,"Linear (1 factor)","Retain",0.459562321616669,0.639170852880101,0.397888041739795,0.241282811140306,0.184390889145858
0.072,"Linear (1 factor)","Retain",0.465458312069739,0.653325153681402,0.399219629330103,0.254105524351299,0.189736659610103
0.076,"Linear (1 factor)","Retain",0.47098286276691,0.667407291258096,0.400484258472361,0.266923032785735,0.194935886896179
0.08,"Linear (1 factor)","Retain",0.476173499872222,0.681424445457778,0.401687611423709,0.279736834034069,0.2
0.084,"Linear (1 factor)","Retain",0.481062514676847,0.695382810374204,0.402834671324772,0.292548139049432,0.144913767461894
0.088,"Linear (1 factor)","Retain",0.485679351160782,0.709287765971723,0.403930184293856,0.305357581677867,0.148323969741913
0.092,"Linear (1 factor)","Retain",0.490052071288102,0.72314401390906,0.404978945819207,0.318165068089854,0.107238052947636
0.096,"Linear (1 factor)","Retain",0.494165040963099,0.736955686431046,0.405975454534667,0.330980231896379,0.109544511501033
0.1,"Linear (1 factor)","Retain",0.498133080855081,0.750726432183165,0.406946189838443,0.343780242344722,0.223606797749979
0.104,"Linear (1 factor)","Retain",0.501868271539804,0.764459490693956,0.407868438587855,0.356591052106101,0.228035085019828
0.108,"Linear (1 factor)","Retain",0.505426177969005,0.778157748901675,0.408754642802046,0.36940310609963,0.232379000772445
0.112,"Linear (1 factor)","Retain",0.508820083082117,0.79182379029126,0.409607097525026,0.382216692766235,0.236643191323985
0.116,"Linear (1 factor)","Retain",0.512061899705993,0.805459935394933,0.41042788943584,0.395032045959093,0.240831891575846
0.12,"Linear (1 factor)","Retain",0.515162350042928,0.81906827576912,0.411218921616084,0.407849354153036,0.173205080756888
0.124,"Linear (1 factor)","Retain",0.518131116828238,0.832650702673799,0.411981934687525,0.420668767986274,0.17606816861659
0.128,"Linear (1 factor)","Retain",0.520976971352573,0.846208931416064,0.412718524948102,0.433490406467961,0.126491106406735
0.132,"Linear (1 factor)","Retain",0.523707882467216,0.859744522121627,0.41343016001044,0.446314362111187,0.128452325786651
0.136,"Linear (1 factor)","Retain",0.526331109858101,0.873258897545213,0.41411819234942,0.459140705195793,0.260768096208106
0.14,"Linear (1 factor)","Retain",0.528853284232505,0.886753358412092,0.414783871089921,0.471969487322171,0.264575131106459
0.144,"Linear (1 factor)","Retain",0.531280476557035,0.900229096690022,0.415428352305326,0.484800744384696,0.268328157299975
0.148,"Linear (1 factor)","Retain",0.533618258088994,0.913687207117395,0.416052708049637,0.497634499067758,0.272029410174709
0.152,"Linear (1 factor)","Retain",0.53587175262885,0.927128697255062,0.416657934307825,0.510470762947238,0.275680975041804
0.156,"Linear (1 factor)","Retain",0.538045682169369,0.940554496282605,0.417244958017961,0.523309538264644,0.197484176581315
0.16,"Linear (1 factor)","Retain",0.540144406915337,0.953965462722219,0.417814643293659,0.53615081942856,0.2
0.164,"Linear (1 factor)","Retain",0.542171960484243,0.967362391242957,0.418367796954846,0.548994594288111,0.143178210632764
0.168,"Linear (1 factor)","Retain",0.544132080965549,0.980746018673268,0.418905173458078,0.561840845215189,0.144913767461894
0.172,"Linear (1 factor)","Retain",0.546028238407605,0.994117029329489,0.419427479303713,0.574689550025775,0.293257565972304
0.176,"Linear (1 factor)","Retain",0.547863659212905,1.00747605975126,0.419935376985987,0.587540682765274,0.296647939483827
0.18,"Linear (1 factor)","Retain",0.549641347847043,1.02082370292104,0.420429488541977,0.600394214379066,0.3
0.184,"Linear (1 factor)","Retain",0.551364106208533,1.03416051203341,0.420910398748155,0.613250113285257,0.303315017762062
0.188,"Linear (1 factor)","Retain",0.553034550952866,1.04748700387035,0.42137865800571,0.626108345864643,0.306594194335118
0.192,"Linear (1 factor)","Retain",0.554655129024557,1.06080366183067,0.421834784950916,0.638968876879755,0.219089023002066
0.196,"Linear (1 factor)","Retain",0.556228131613583,1.074110938655,0.422279268821505,0.651831669833496,0.221359436211787
0.2,"Linear (1 factor)","Retain",0.557755706723224,1.08740925888216,0.42271257160614,0.664696687276018,0.158113883008419
0.22,"Linear (1 factor)","Retain",0.564787659420068,1.15377965893513,0.424728463821878,0.729051195113256,0.16583123951777
0.24,"Linear (1 factor)","Retain",0.570928827528949,1.21997696400723,0.426517975111344,0.793458988895884,0.346410161513775
0.26,"Linear (1 factor)","Retain",0.576350757965759,1.28603272919281,0.428120789711387,0.857911939481426,0.360555127546399
0.28,"Linear (1 factor)","Retain",0.581175842566518,1.35197114151686,0.429565515726914,0.922405625789948,0.374165738677394
