"","tau2","model","heuristic","optDelta","minPsi","MIV","MISB"
"1",0.001,"Linear (10 factor)","FFD1-Retain",0.609200039865803,304.000810463853,273.042418581407,30.9583918824452
"2",0.001,"Linear (10 factor)","FFD1-Split",0.499958953438019,335.753873411947,249.584817835058,86.1690555768893
"3",0.001,"Linear (10 factor)","FFD2",0.571950822231483,284.325408997511,258.330410657853,25.9949983396579
"4",0.01,"Linear (10 factor)","FFD1-Retain",0.750925382490234,403.618159901664,344.024236262149,59.5939236395152
"5",0.01,"Linear (10 factor)","FFD1-Split",0.499921685369928,1111.80348677468,249.57065714396,862.232829630715
"6",0.01,"Linear (10 factor)","FFD2",0.705206825038401,366.419151431109,318.142624887727,48.2765265433818
"7",0.1,"Linear (10 factor)","FFD1-Retain",0.922599544678504,611.933592836273,477.784069426962,134.149523409311
"8",0.1,"Linear (10 factor)","FFD1-Split",0.499922032350443,8871.84857940664,249.570788980056,8622.27779042658
"9",0.1,"Linear (10 factor)","FFD2",0.867660371854461,530.41377933017,427.393638237627,103.020141092542
